sentence,label
"Nie tylko możemy mówić o ograniczeniu godzin sprzedaży, ale również o ograniczeniu liczby punktów docelowo, zmniejszając po prostu te limity, które uchwala rada Warszawy i które potem na podstawie których są wydawane zezwolenia na sprzedaż.",NF
"Inicjatywy, ale co ciekawe również informacje o księstwie Warszawskim z czasów wojen napoleońskich.",NF
"Ale czy państwo powinno interweniować, a jeśli tak, to w jaki sposób?",NF
"To tyle, co w województwie lubelskim I jeszcze nawet więcej.",FR
"To wszystko jest jak w dowcipie: “Dziadku, wojna się skończyła 20 lat temu”.",NF
"Po drugie, użytkownicy chcą mieć regularność, to znaczy chcą, żeby ten autobus przyjeżdżał w odpowiednich interwałach, a nie żebyśmy puszczali na przykład raz autobus dwie godziny rano, dwie godziny po południu.",FNR
Mówimy choćby o tym tunelu pod Łodzią na 85%.,FNR
To my go w ogóle nie robimy i olewamy to.,NF
PiS tej budowy przecież nawet nie zaczął.,FR
"Uznał, że lepszy termin na ich rozpatrywanie będzie po wyborach samorządowych.",FNR
"To otrzymujemy taki efekt społeczny rozwarstwienia społecznego, że mamy tych, którzy z racji tego, że już mają mieszkanie, z dużą łatwością mogą przy dobrej pensji odłożyć sobie na drugie albo wziąć sobie po prostu je w kredyt i spłacać ratę z tego.",FNR
"W niektórych resortach siedmiu wiceministrów, czy siedmioro viceministrów, bardzo dużo.",FNR
"W innych miastach jest 70 lat, u nas 65-latkowie jeżdżą komunikacją miejską bezpłatnie.",FR
Bardzo mocno potrzebujemy rozbudowy linii tramwajowych.,NF
Nie mieliśmy głosowania w sprawie wyrzucenia Grzegorza Brauna.,FNR
"Jak wyliczył nasz kandydat Marek Grochowicz, dziś w dzisiejszej Radzie Miasta Krakowa mamy 74 proc. mężczyzn, zaś 35 proc. radnych ma powyżej 65 lat.",FR
"To jest dokładnie tyle samo, ile jest ziemi ornej, rolnej w Polsce, w całej Polsce.",FR
"Dzisiejsze Długie Ogrody staną się zielonymi ogrodami, będą naturalnym przedłużeniem ulicy Długiej, Długiego Targu, Stągiewnej, właśnie aż do... Jesteśmy po pierwszych konsultacjach z mieszkańcami, interesariuszami tego projektu i konsekwentnie do jego realizacji doprowadzimy.",FNR
"I jeśli możemy z tym walczyć poprzez kreowanie dobrych postaw, to wydaje mi się, że byłby to dobry kierunek.",NF
"Musimy spełnić odpowiednie procedury, bo mamy rzekomo chorobę, która nazywa się bakteriozą ziemniaków, która występuje w całej Unii Europejskiej i przyjechała do Polski też z zagranicy.",FR
"Tylko 6 gmin w całym województwie małopolskim podjęło takie uchwały, więc naprawdę Oświęcim należy do liderów, jeżeli chodzi o kwestie związane z walką ze smogiem.",FR
"Są z nami także pracodawcy, wy wiecie doskonale, o czym ja mówię.",NF
"To są, to jest polityka, która była prowadzona przez lata i która nie przynosiła dobrych efektów dla rolnictwa, dla małych gospodarstw.",FNR
"Zaproponowałem, żebyśmy razem zrobili to od czerwca.",FNR
Dobrego dnia życzymy słuchaczom Radia Plus.,NF
"Zawsze na temat, o tym, co ważne dla Warszawy i Mazowsza.",NF
"A ważne są inne rzeczy: in vitro, bezpieczna szkoła, opłacalne rolnictwo, pojednanie narodowe.",NF
"Te partie wielokrotnie głosowały ze sobą, np.",FNR
Co zrobił Zbigniew Ziobro?,NF
"Wprowadził takie dopłaty PiS za swoich rządów w poprzednim roku i widzieliśmy, co się stało na rynku – wcale nie rozwiązują tego problemu.",FR
"Powtarzam, nasz wróg jest wrogiem zewnętrznym, nie wewnętrznym.",NF
Rozliczenie VAT w Polsce zajmuje trzy razy więcej niż średnia unijna.,FR
Każdego roku samo miasto sadzi ponad 1000 drzew.,FR
"Są teraz, i mało tego, posłowie partii Razem na ostatnim posiedzeniu Sejmu zajmowali w tej sprawie głos.",FNR
"To jedno zdanie, jutro o 18:30 w moim opocie będzie prezes Jarosław Kaczyński, serdecznie wszystkich zapraszam.",NF
"Ja rozumiem, że może tak być, tylko proszę, chyba nie warto mówić, że zostały wywłaszczone osoby, skoro jeszcze nikt nie został.",FNR
"Dzisiaj współce jest prowadzona kontrola przez Najwyższą Izbę Kontroli tego projektu, tego programu, programu dobrowolnych nabyć, bo są wątpliwości co do wycen, choćby, że one zostały zaniżone.",FNR
"Oczywiście, nie od powiedzmy drugiego mieszkania, bo faktycznie różne są sytuacje.",NF
"Dzisiaj osoby niepełnosprawne są chronione przed tego typu eksmisją na bruk, na bruk podkreślam, tak i matki w ciąży i matki z małymi dziećmi.",FR
Trzeba rozmawiać spokojnie o bezpieczeństwie.,NF
"Z jednej strony Prawo i Sprawiedliwość, z drugiej strony koalicja wojny z prezydentem.",NF
"Przepraszam najmocniej, kilka z nich już stworzyliśmy, kilka z nich już stworzyliśmy, choćby właśnie na obrzeżach powstającego właśnie Parku Południowego.",FNR
"Już teraz zapraszam bardzo serdecznie na scenę kandydatki i kandydatów na radnych, zarówno miejskich, jak i do sejmiku województwa.",NF
"I w tym momencie te osoby muszą płacić horendalne czynsze, i mamy gigantyczne rozwarstwienie społeczne.",FNR
Nie możemy.,NF
"Ostateczną decyzją premiera te środki zostały nam odmówione, więc kiedy dzisiaj ludzie z PiS-u mówią, że będą tworzyli nowe miejsca pracy, a kiedy była taka możliwość, nie zrobili nic, dosłownie nie zrobili nic, aby Oświęcim pozyskał pieniądze.",FR
"To dotyczy tylko pisemnych, dokładnie prac domowych, które często były takim przeniesieniem do domu tego, czego nauczyciel zdążył zrobić na lekcji.",FNR
"Nie, ale ja mówię poważnie, bo jeżeli tak jest, że łączą nas, że łączy nas tylko biznes, to jest pytanie, jak długo tak wytrzymamy.",NF
"Nie należy ich sprzedawać, nie należy ich prywatyzować.",NF
Ale ten problem w szczególności dotyka mężczyzn.,FNR
"Plus, państwo powinno interweniować, żeby dla wszystkich zrobić te same zasady i wymagać tych samych zasad od wszystkich.",NF
"Połączyliście Prokuratora Generalnego z Ministrem Sprawiedliwości po to, żeby mieć kontrolę nad prokuraturą i wprost o tym mówiliście.",FR
"Panowie premierzy sprowadzają dyskusję do PO i PiS-u, zachowują się jak Flip i Flap.",NF
"Jedyną prawdziwą alternatywą jest Konfederacja, która proponuje zmianę mentalną, zmianę jakościową.",NF
W Warszawie jest 6 razy więcej sklepów monopolowych niż w całej Szwecji.,FR
"Ja mówię o tym, że my już to przerabialiśmy.",FNR
"Jeżdżę bardzo często po Polsce, spotykam się z seniorami.",FNR
"Tu musimy dodać, że w całej Warszawie jest więcej punktów sprzedaży alkoholu niż w Szwecji.",FR
"A mamy z tym w Warszawie problem, co jakiś czas dochodzi do naprawdę oburzających incydentów.",FR
"Jarosław Juźwiak, kandydat do rady Warszawy, koalicja obywatelska, Oskar Szafarowicz, dojechaliśmy do końca przystanek w programie Zawsze na temat.",NF
"A jeżeli mówimy o polityce Prawa i Sprawiedliwości, to spójrzmy na sejm.",NF
"Pushbaki, lewica bardzo krytykowała, pani poseł, że przerzucane są osoby, które do Polski przechodziły z powrotem za granicę białoruską.",FR
"Więc mamy sytuację, w której ludzie po prostu parkują kapitał.",FNR
"Ale pan się połączył z kolei z panem posłem Jabłońskim i robicie to samo co za waszych czasów posłowie Szczerba i Joński, chodzicie i kontrolujecie.",FNR
"Jest nawet papież, któremu Obajtek w pandemii zawiózł wyposażenie ochronne, które miało trafić do polskich szpitali.",FR
"My proponujemy: jeśli się nie dostaniesz do lekarza na NFZ w określonym czasie, to państwo zwróci ci koszt prywatnej wizyty.",FNR
"To, co zostało dane, nie zostanie odebrane, ale będzie co roku waloryzowane.",NF
"Bo spółka nawet nie chciała przedstawić harmonogramu skróconego z 2030 roku do 2028, a specjaliści mówią, ale to jest nierealne, tego nie macie.",FR
"Ponosimy jako społeczeństwo, jako Polki i Polacy, ogromne koszty tego, że ten alkohol jest tak łatwo dostępny, także dla osób, które usiłują wychodzić z uzależnienia alkoholowego.",FR
"Bo ja wiem, pielęgniarka opiekuje się chorymi, budowlaniec buduje dom, ty spekulujesz, i co my z tego mamy?",NF
"A dziś się mówi o tym, że zboże zostaje w Polsce, że z Litwy z powrotem wraca.",FR
"Wie pan, panie redaktorze, między Jarosławem Kaczyńskim a Zbigniewem Ziobro, między Mateuszem Morawieckim a Ziobrą, też wielkiej miłości to nie było.",NF
"Będziemy oczywiście zabiegać o środki unijne, bo bez nich tego projektu nie zrealizujemy, ale to nie tylko kolej.",NF
Także wiele tych wątków pojawiało się w tych przemówch.,NF
"No i jeszcze w perspektywie na ludzi, którzy wyrośli w PRL-u, ich rodzice wyrośli w PRL-u.",NF
"Ten niemądry spór, który wywołał premier Izraela o praworządność, o sądy, doprowadził do słabości wewnętrznej kraju.",NF
"Wiek emerytalny pozostanie na tym samym poziomie, a my sprawimy ci co chcą, będą mogli pracować dłużej.",FNR
"Jeśli chodzi o rolnictwo, mamy saldo ujemne, ok. 656 mln euro.",FR
"Czyli mamy sytuację, która jest bardzo, to jest pytanie od razu, to jest pytanie do pana, panie Janie, i pytanie do panów, czy państwo powinno w tej sprawie interweniować?",NF
"Wszystkie dotychczasowe ekspertyzy, z jakimi mieliśmy okazję się zapoznać, stawiają pod znakiem zapytania zarówno dane wyjściowe, jak i dane końcowe, jeśli chodzi o tę inwestycję.",FR
"Wtedy lody kręciły mafie vatowskie, jak tylko mogły, a oni mówili pieniędzy nie ma i nie będzie.",FNR
"Powrót watu na żywność coraz bardziej realny, premier mówi o stawce 5%.",FNR
"Ale to także zmiana w tych dzielnicach, bo wokół przystanku w pomorskiej kolei metropolitalnej powstaną centra aktywności, miejsca pracy, miejsca spotkań, kawiarnie, restauracje, miejsca, gdzie mieszkańcy z różnych dzielnic będą mogli ze sobą się spotykać i spędzać czas.",NF
Dlatego proponujemy minimum 25 procent podwyżki dla wszystkich zawodów w budżetówce.,NF
"Cieszę się, że także dzisiaj jesteście tutaj razem z nami.",NF
"Daliśmy Polsce konstytucję, członkostwo w Unii Europejskiej, członkostwo w NATO.",FNR
A ile osób zostało wywłaszczonych przy tym projekcie?,NF
"Wie Pani o tym, że polscy rolnicy stosują znacznie mniej pestycydów niż ukraińscy czy zachodnioeuropejscy?",FR
"Panowie, przed chwilą słuchaliśmy mieszkańców, przed chwilą słuchaliśmy włodarzy Warszawy.",NF
"Zdarza się tak, że jeden ze współmałżonków umiera.",NF
Adna jeszcze osoba nie została wywłaszczona.,FR
"W ogóle nie macie pojęcia, na czym to polega.",NF
Efektu zdrowotnego dla warszawianek i warszawiaków nie będzie.,NF
"Tę kwestię badała spółka i według ankiety, którą przeprowadzili, ponad 60 procent mieszkańców akceptuje taką możliwość.",FNR
To się nie wydarzyło.,FR
"Panowie, nie, ja bardzo przepraszam.",NF
"W tej kadencji, zbliżającej się kadencji, nowej kadencji, chcemy pozyskać 2000 mieszkań komunalnych, takich, które będą właśnie dla osób najbardziej potrzebujących, ale także co bardzo ważne, dla młodych rodzin.",NF
Tam niestety te sprawy idą trochę wolniej.,NF
"Należy też zadbać o to, żeby z Polski nie wyjeżdżało nieprzetworzone drewno, bo to uderza w polską branżę drzewną i przemysł meblarski, a to ważna branża eksportowa.",FNR
Nia Matyszak z partii Razem jest dzisiaj gościem na sprawy.,NF
"W 2015 przez Sejm przeszła kolejna ustawa z poparcie PO-PSL i SLD, w której napisano, że tu cytat, że lasy stanowiące własność państwa mogą być zbywane wyłącznie w przypadkach określonych ustawą w celu zachowania trwale zrównoważonej gospodarki leśnej lub realizacji celu publicznego.",FR
"Ale też żeby usłyszeć tą obronę spekulacji, bo ja mam pytanie, bo może nie wiem, na czym spekulacja polega, ale to mógłbyś wytłumaczyć widzom.",NF
Radnymi nie powinni być wyłącznie starsi Panowie!,NF
Lewica to ekipa ludzi do zadań specjalnych.,NF
"Więc może tego uczucia już nie być, może tych emocji przyjemnych między sobą nie być, a są pewne ograniczenia instytucjonalne, które sprawiają, że razem trzeba jechać na tym samym wózku.",NF
I żaden agent Putina i żaden Orban ani Salvini nie będzie ucztował z polskim premierem w warszawskich Łazienkach.,NF
"Grzegorz Braun, jeśli się nie mylę, jest po pięćdziesiątce.",FNR
"Był taki moment, że było około 120 w rządzie PiS parę lat temu.",FR
"Największy posiada oficjalnie 600 tys. ha, nieoficjalnie uprawia jeszcze między 300 a 400 tys. ha.",FR
Był pan premierem polskiej biedy i bezrobocia.,NF
"Nie macie zielonego pojęcia, jakie to jest trudne, jakie to jest kapitałochłonne.",NF
Możemy robić debatę ze wszystkimi mediami.,NF
"Ale jeżeli mówimy o wyprzedaży, to przecież prezes Obajtek oddał pół rafinerii Gdańskiej firmie z Arabii Saudyjskiej.",FR
"W sytuacjach, kiedy życie jest naprawdę ileść dzieci umiera i to jest jasne.",NF
"To nie są pieniądze, które leżą na ulicy.",NF
"Na pewno warto przeprowadzić uczciwe, szerokie konsultacje.",NF
"No dobrze, a jeżeli trzeba będzie później te pieniądze oddać, ponieważ nie rozliczyliśmy się w czasie z tych pieniędzy, bo nie zakończyliśmy projektu do 2028 roku?",NF
"Uczył się, pracował, rozwijał, zarobił pieniądze, potem je zainwestował.",NF
"Nie, to znaczy są ludzie, którzy nie mogą sobie założyć rodziny, zdecydować się na dziecko.",FNR
"To jest, bo jeszcze mam tylko jedno zdanie, bo mamy takie poczucie, jakby były niemożliwe rzeczy, które dzieją się najczęściej ludzie się nie wyprowadzają w krajach skrajnie wolnorynkowych najwcześniej z domów, tylko w Skandynawii.",FR
"Chciałby go pan reedukować, tam wytłumaczyć mu, ""Grzesiu, słuchaj, to się tak nie robi"".",NF
"Zaczęło się od krytyki tego, co tak naprawdę jest wyssaną z palca aferą, a fakty są takie, że to ja na Radzie Europejskiej postawiłem twarde weto przeciw nielegalnej imigracji i tam na Radzie dowiedziałem się również, że Donald Tusk ma obiecane stanowisko.",FR
"Teraz wybuchła ogólnopolska afera związana z działalnością Collegium Humanum i wydawaniem wręcz hurtowo dyplomów MBA, co do których jakości, wartości i tego czy one rzeczywiście były poprzedzone jakąkolwiek nauką nie możemy mieć pewności.",FR
"No, ale jeżeli ktoś zechce, to sobie kupi ten alkohol wcześniej, to?",NF
"Nasze miasto to jeden z niewielu przykładów w Polsce, gdzie liczba mieszkańców nieustająco rośnie.",FR
"Przemoc seksualna urosła o 167%, zanotowano 1758 przypadków.",FR
"Szanowni Państwo, fakty są takie, że to rząd Donalda Tuska podniósł wiek emerytalny, a nasz rząd obniżył wiek emerytalny.",FR
"Kiedy były kwoty, Ukraina mogła do Unii wprowadzać rocznie tam 20 kilka tysięcy ton cukru.",FR
"I ci, i ci to tak naprawdę głos na Tuska.",FNR
"Dzisiaj dyskutujemy o czymś, czego tak naprawdę nie ma.",FNR
Czy na przykład nasze sieci przesyłowe są dostosowane do tego typu inwestycji.,NF
Przez to Warszawa ma najtańsze parkowanie w centrum miasta ze wszystkich dużych miast w Polsce.,FR
"Bo plany miejscowe, gdzie, które zakładają wycięcie zieleni, postawienie wielkich wieżowców, na przykład Gocław lotnisko, to jest kuriozum proponowane niestety przez miasto.",FR
"A w tej chwili prawdopodobnie jest tak, że pieniądze nie znoszą próżni i jeśli w okresie międzywojennym możecie sobie zgadnąć, 70% 80% wydatków domowych to była żywność, a w tej chwili to jest gdzieś około 29%, to reszta kapitału musi być gdzieś wydana.",FNR
"Nie będzie też Sienkiewicza, Prusa ani Słowackiego.",FR
"Dopadło, ja mam jedno akurat, ale rozumiem, że łącznie jako małżeństwo, mamy w tym momencie dwa.",NF
"Cały świat poszukuje sprzętu, takiego jak respiratory i maseczki.",FNR
"I porównując, na przykład, dwa kraje, Hiszpanię i Polskę, która zaczynała z tego samego poziomu, pomimo dyktatur, to powodowało, że efektywność tych rzeczy, które zakładacie, była bardzo niska.",FR
"Ja chciałam przytoczyć pewne badania, ponieważ 81 proc. Europejczyków chce wspólnej polityki obrony i bezpieczeństwa.",FR
"Jak się pan zastanawia, to do jakich wniosków dochodzi?",NF
"Teraz mamy sygnały, że kolejny jakiś wielki, od dziesięcioleci śpiący wulkan na Syberii, nie wykluczone, że uaktywni się.",FNR
Trudno jest im związać koniec z końcem.,NF
"Ja oceniam te pięć lat bardzo pozytywnie, to był bardzo twórczy okres, chociaż wpadliśmy w trzy wielkie plagi: pierwsza to pandemia covid, druga to wojna na Ukrainie i napływ ofiar tej agresji i ci uchodźcy zostali tutaj do nas przez nas przygarnięci, pracują we Wrocławiu.",NF
Jeszcze jakoś się to nie wydarzyło.,FR
"Ja polecam się przejść na Wyspę Spichrzów w Gdańsku czy we Wrocławiu, ale też w Warszawie też są takie osiedla, które są praktycznie puste, bo ludzie kupują mieszkania, nie wykańczają nawet tych mieszkań, bo sama aprecjacja wartości tej nieruchomości doskonale wystarczy.",FR
Ale przecież te 40% marży dewelopera i tak wraca do gospodarki w jakichkolwiek innych wydatkach.,FR
"A może warto byłoby taką strefę czystego transportu ograniczyć, zmniejszyć na początek.",NF
Czy że rzeczywiście ten problem też bezpieczeństwa w wielu dzielnicach jest przez to nabrzmiały.,FNR
"Jeszcze oś zachodnia, obwodnica, Leśnica i dojazd do lotniska to są takie najważniejsze rzeczy.",NF
"Głęboko się nie zgadzam z tym, co tam się wydarzyło, to nie było tylko złe, niewłaściwe, to jeszcze było też szkodliwe.",NF
"My, jeśli chodzi o handel ogólny, mamy dodatnie saldo na poziomie 6 mld euro .",FR
"Każdy lekarz, każda osoba zajmująca się zdrowiem publicznym w Polsce może to potwierdzić, że nadmierne spożycie alkoholu w Polsce jest gigantycznym czynnikiem ryzyka zdrowotnego.",FR
"Ale jakby paroma tezami tutaj, bo rzeczywiście kapitalizm w ekstremalnej swojej formie będzie dążył do akumulacji i będzie powodował, że najbogatsi będą korzystać z samego kapitału, czyli żyć z odsetek od odsetek, jak się mówi.",FNR
"Ebyśmy mieli świadomość, bo jest ta umowa najmu okazjonalnego, więc żadne prawo ochrony lokatorów wtedy nie obowiązuje.",FNR
"KRZYSZTOF MAJ, BEZPARTYJNI SAMORZĄDOWCY: Ja mam taki apel do premierów Donalda Tuska i Mateusza Morawieckiego – żeby zacząć budować zgodę na temat bezpieczeństwa, by pan Donald Tusk powstrzymał posłów z niebieską siatką na granicy, by premier przestał wykorzystywać ten spór.",FNR
"Nie stać nas na to, czy pan nie przesadza ze słowem 'zabić'?",NF
Tam jest 2 mld zł zadłużenia miasta.,FR
Może tutaj pani pochwali obecny rząd?,NF
"To też historyczna zmiana, pierwsza kobieta wojewoda pomorska jest z nami.",NF
"Pamiętam harce jednego z posłów Platformy, który protestował przeciwko barierze.",FNR
"Te efekty widać w powietrzu, coraz bardziej czyste jest powietrze w Oświęcimiu.",FR
"Regulacje, które planuje Unia Europejska są absurdalne i czas zacząć krzyczeć, że Unia Europejska skręca w ślepą uliczkę o nazwie Ulica Niewolników.",NF
Prezydent i do tej pory żaden publiczny projekt budowania.,FNR
"Agencja Środowiska plus Rada Naukowa powiedziała, że nie damy radę z 55 do 2030.",FR
"Bez względu na to, o jaką partię chodziło.",FNR
Należy także zwrócić uwagę na inne spółki o znaczeniu strategicznym.,NF
"Wiem, że dostał pan wazon ze złotem i srebrem od Putina w 2010 roku.",FNR
"No bo po co polskie dzieci mają się uczyć o tym, jak powstało państwo Mieszka Pierwszego, państwa Polan.",NF
"I co zrobił, kiedy doszedł do władzy?",NF
Wynika tak z propozycji zmian programowych nauczania historii w szkołach podstawowych.,FR
"W tej kadencji wybudowano we Wrocławiu ponad 7,5 tys. nowych miejsc przedszkolnych oraz żłobkowych.",FR
Dziś Polska nie jest równo rozwinięta.,FNR
"Więc protestują wszyscy, a to jest dopiero pierwszy krok, bo jeżeli jest ten cel, żeby do 2050 być neutralnym klimatycznie, a do 2040 obniżyć emisje CO2 o 90%, to trzeba będzie po drodze zabić rolnictwo, trzeba będzie zwiększyć koszty życia, remontować domy, mieszkania.",FR
"Po prostu na pewnym etapie, na trzy dni przed złożeniem tych wniosków, jeszcze one były niekompletne, na dzień przed spływały jeszcze bądź były zmieniane z zakresu 30%.",FNR
"Dziękuję pani marszałek senatu, trzeciej osobie w państwie.",NF
"Deweloperzy szczególnie odczuwają to, że ceny materiałów budowlanych spadają.",FR
"Chcę powiedzieć, że po wygranych wyborach będę pilnował, żeby nikomu do głowy nie przyszło podwyższanie wieku emerytalnego.",NF
Spółka złożyła wniosek o pół miliarda euro środków z tego instrumentu.,FR
"Ten model rynkowy, coraz bardziej spekulacyjny, w którym, w tym momencie, ponad połowa mieszkań jest kupowanych nie w celu mieszkania w nich przez osoby, które je kupują.",FR
"Nasze miasto, według niezależnych rankingów, jest czwartym miastem w Europie pod względem jakości życia i to ocenianym przez samych mieszkańców.",FR
"Zostało kupione, nabyte przez spółkę, o ile dobrze pamiętam, 1 200 albo 1 300 ha, w sumie z 8 tys., które zaplanowane było zarówno na lotnisko, jak i na inwestycje towarzyszące.",FR
"Więc jeśli możemy taką prohibicją zdjąć im część tego ciężaru, to to jest tylko doskonała wiadomość dla nas wszystkich.",NF
"Chciałbym powiedzieć, że budowanie takiego obrazu, że jak kogoś stać na kupienie sobie drugiego albo trzeciego mieszkania, to na pewno jest nierobem, który nic nie robi, to nie.",NF
"W takim przedszkolu byłem na dniach otwartych teraz na Złotnikach, na Dębickiej wybudowaliśmy przedszkole.",FNR
Zajmuje również 1. miejsce pod względem udziału terenów zieleni w ogólnej powierzchni miasta.,FR
"Są badania, które pokazują, że młodzi Polacy – ci w szkołach podstawowych – zdecydowanie bardziej rozwijają swoje kompetencje cyfrowe dzięki Laboratoriom Przyszłości.",FR
"No, jest rzeczywiście rzeczą kuriozalną, że w Warszawie jest sześć razy więcej sklepów monopolowych niż w całej Szwecji.",FR
"Na szczęście nie musiałem się nad tym zastanawiać, byłem wielkim zwolennikiem zawieszenia Grzegorza Brauna.",NF
"Oczywiście w tej strefie, bo to też jest bardzo często pomijane, dojście do tego pełnego zakazu jest w kilkunastu krokach.",FNR
"Takie najważniejsze moje osiągnięcia w poprzedniej kadencji rady miejskiej to przede wszystkim doprowadzenie do tego, że nie 70-, tylko 65-latkowie, we Wrocławiu, jeżdżą komunikacją miejską bezpłatnie.",FR
"Oczywiście było planowane, natomiast myśmy to zrobili, to się udało.",FNR
A transport publiczny dla naszych dzieciaków będzie po prostu darmowy.,FNR
"W ciągu 4 lat kadencji wybudowano mniej niż 1 000 mieszkań, łącznie czynszowych i komunalnych.",FR
"O tym, czy, wie pan, ileś lat temu, cztery, pięć już prawie, pojechałem do Grzegorza Brauna zaprosić go do Konfederacji.",FNR
"Tak, bo oczywiście mówimy tutaj o prohibicji nocnej, przede wszystkim, czyli ograniczenie działalności sklepów z alkoholem.",FNR
"Więc po co wprowadzać rozwiązanie, które zostało już sprawdzone kilkukrotnie i nigdy nie zadziałało?",NF
"Co ciekawsze, w tym momencie te nieruchomości, które są własnością spółki, powinny być pilnowane, żeby nie doszło do żadnego ewentualnego jakiegoś nieszczęścia.",NF
Pierwsza grupa postulatów to postulaty dla wspólnoty.,FNR
"Wtedy z całą pewnością mieliśmy synergię naszych elektoratów, mieliśmy synergię naszych działań, i musimy się wspólnie zastanowić, czy ona dalej istnieje.",FNR
"Ja rozumiem, ale to jest zupełnie inny moment rozwoju społeczności.",NF
"Ale panowie, dobrze, bo ja zadałem pewne pytanie i panowie poszli zupełnie w inną stronę.",NF
"Więc krytykowanie dzisiaj, że ktoś będzie jeździł do centrum za pomocą metra dłużej niż dzisiaj jeździ autobusem i dłużej niż jeździłby tramwajem, który został wycięty z listy inwestycji, no, nie.",FNR
"Czyli my drugie pół mięsa wieprzowego musimy kupować, chociażby z Hiszpanii .",FR
Rozpoczęliśmy już przygotowanie do projektu przedłużenia Drogi Królewskiej.,FNR
"Ale wracając, państwo powinno interweniować tylko w kilku warunkach.",NF
"No to co z tą prohibicją w nocy, wprowadzamy czy nie?",NF
W tej chwili tego drewna niestety brakuje.,FR
"Czy w interesie polskim działały służby specjalne, podsłuchując, jak pisze Onet, pana prezesa Obajtka i nagrywając rozmowy telefoniczne?",NF
A lasy trzeba chronić lasy trzeba chronić.,NF
"Nie macie zielonego pojęcia, jak to działa.",NF
"No, dlatego znowu wracamy do tego, że najważniejsze jest zdanie mieszkańców, ale też w pewien sposób dostrzeżenie tego problemu całościowo.",NF
"Zostało kupione, o ile dobrze pamiętam, 1200 albo 1300 hektarów w sumie z 8 tysięcy, które za tak jakby zaplanowane było zarówno na lotnisko jak na inwestycje towarzyszące.",FR
"MATEUSZ MORAWIECKI, ZJEDNOCZONA PRAWICA: Zacznę od takiego pytania do Donalda Tuska.",NF
Ale w takim Szydłowcu na przykład 20% i z tym też coś trzeba zrobić.,FNR
"Po to, żeby ona znowu zaczęła służyć mieszkańcom, a nie, żeby mieszkańcom narzucała swoje rozwiązania, które zwykle są chybione, bo są to pewnego rodzaju eksperymenty.",FNR
"I tu się akurat zgadzam z aktywistami miejskimi, że rzeczywiście i dla bezpieczeństwa, też sam tego doświadczyłem.",NF
"W Toruniu wtedy byłem, a na klubie nie głosujemy zdalnie.",FNR
"I też, powiedzmy sobie uczciwie, że ten okres przejściowy będzie powodował to, że część tych samochodów, które dzisiaj jeszcze nie kwalifikują się do tego, żeby do tej strefy wjechać za te kilka lat, kiedy już faktycznie nie będą mogły wjechać, będą miały kilkanaście lat i pewnie zostaną już przez właścicieli wymienione, dlatego że nie ma tutaj ucieczki.",FNR
"Nie powinno to też tak wyglądać, i taka rozbuchana administracja też mam poczucie, że niczemu dobremu nie służy.",NF
"My tą pigułkę czy tam tabletkę dzień po, która może być szkodliwa dla organizmu, tak, która nie była badana, na 15-16 latkę, która według producenta nie powinna być zażywana przez ludzi poniżej 18 roku życia, nagle polskie państwo mówi 15-latkom, jedzcie, możecie, nie ograniczajcie się.",FR
"Mam nadzieję, że niebawem, mam nadzieję, że niebawem ruszy przebudowa jednego z obiektów, który właśnie we współpracy z panem marszałkiem będzie temu celowi służył.",NF
"Dziękuję wam za ten nieustający dialog, w którym właśnie z trzecim sektorem, z organizacjami pozarządowymi jesteśmy.",NF
"W momencie, gdy na Ukrainie mamy wojnę, gdy mamy taką wielką korupcję, to ten system jest systemem niebezpiecznym.",FR
"Polska potrzebuje uczciwej debaty na temat tego, skąd mają się wziąć pieniądze, za które będziemy otrzymywali emeryturę.",NF
"Wynika to z propozycji zmian programowych nauczania historii w szkołach podstawowych, z propozycji ministerstwa edukacji w nowym rządzie.",FR
"A może, żeby zachęcić mieszkańców do porzucenia samochodów, zostawienia tych samochodów w domach, może warto wprowadzić bezpłatną komunikację miejską?",NF
I teraz prezydent nie ma inwentaryzacji tego zasobu.,FNR
"Jest tutaj dwóch posłów, jest też Jan Śpiewak, działacz miejski i jest praktyk tego rynku.",NF
"A potem mają wymarłe centra, z turystykowanymi centrami miasta.",NF
"To nie jest kryzys, to jest rezultat działań państw europejskich.",FNR
One są o kilkaset złotych mniejsze niż 1 500 do wynagrodzenia zasadniczego.,FR
"Tak były, one były planowane i ten projekt alei Wielkiej Wyspy był planowany, panie redaktorze, już w Breslau, tylko że ani realizacja rozpoczęła się za poprzedniego prezydenta, ani w PRL-u, ani w okresie, kiedy urzędowali poprzedni prezydenci, nie zostało to wybudowane.",FR
Bo nie chcą mieć akurat tego autobusu tuż przed swoimi oknami.,NF
Co do migracji – to słowo oznacza dziś największy skandal.,NF
Dzisiaj deweloperzy mają czterdziestoprocentowe marże.,FR
Jeden zakładał tłumienie inflacji kosztem spowolnienia gospodarki i w konsekwencji wzrostu bezrobocia.,FR
"Od razu, strefa budżetowa – 20 proc.",NF
"My odzyskaliśmy bardzo wiele firm dla Polski, mamy niezależność energetyczną od Rosji, Baltic pipe.",FR
Oni się wtedy z nas śmiali .,FNR
